FID,id,ORIG_FID,x,y
0,2,0,466039.584520999982487,3957386.126310000196099
1,2,0,466051.263995999994222,3957319.264680000022054
2,2,0,466081.602669999992941,3957270.837470000144094
3,3,1,466303.822742999996990,3957667.184609999880195
4,3,1,466330.906449000001885,3957637.472860000096262
5,3,1,466346.728752999973949,3957630.594930000137538
6,4,2,451269.552441000007093,3944494.896579999942333
7,4,2,451389.430845999973826,3944481.887779999990016
8,4,2,451389.748908000008669,3944481.853259999770671
9,4,2,451396.336420000006910,3944481.138410000130534
10,4,2,451396.488913999986835,3944481.121859999839216
11,4,2,451399.571542999998201,3944480.787349999882281
12,4,2,451399.656359000015073,3944480.778140000067651
13,4,2,451429.036222999973688,3944477.589939999859780
14,4,2,451503.585359000018798,3944475.029600000008941
15,5,3,451183.071855999995023,3944556.849119999911636
16,5,3,451265.004566000017803,3944557.617529999930412
17,5,3,451300.924994000000879,3944564.863169999793172
18,5,3,451300.984120999986771,3944564.875099999830127
19,5,3,451364.209318000008352,3944577.628469999879599
20,5,3,451364.298835999972653,3944577.646530000027269
21,5,3,451370.856265000009444,3944578.969250000081956
22,5,3,451370.998169000027701,3944578.997880000155419
23,5,3,451373.257334999972954,3944579.453579999972135
24,5,3,451373.316076999995857,3944579.465429999865592
25,5,3,451375.290663999971002,3944579.863729999866337
26,5,3,451375.392125000013039,3944579.884200000204146
27,5,3,451384.080082000000402,3944581.636679999995977
28,5,3,451384.215129000018351,3944581.663920000195503
29,5,3,451387.709535999980289,3944582.368790000211447
30,5,3,451387.844320999982301,3944582.395980000030249
31,5,3,451397.213997000013478,3944584.285970000084490
32,5,3,451467.299319999990985,3944593.116340000182390
33,6,4,456428.841696000017691,3944912.815890000201762
34,6,4,456451.903373999986798,3944915.728769999928772
35,6,4,456506.438548000005540,3944932.608010000083596
36,6,4,456554.623515999992378,3944945.736370000056922
37,6,4,456603.340679000015371,3944964.157409999985248
38,6,4,456644.986002999998163,3944986.647429999895394
39,7,5,456482.290433000016492,3944862.881440000142902
40,7,5,456511.521720000018831,3944884.423220000229776
41,7,5,456548.335969000007026,3944902.902269999962300
