4.5648e+05,3.9449e+06,0.054546
4.5648e+05,3.9449e+06,NaN
4.5648e+05,3.9449e+06,0.039972
4.5648e+05,3.9449e+06,NaN
4.5651e+05,3.9449e+06,0.083425
4.5651e+05,3.9449e+06,NaN
4.5651e+05,3.9449e+06,0.022475
4.5651e+05,3.9449e+06,NaN
4.5651e+05,3.9449e+06,0.049894
4.5651e+05,3.9449e+06,NaN
4.5651e+05,3.9449e+06,0.030307
4.5651e+05,3.9449e+06,NaN
4.5651e+05,3.9449e+06,0.050586
4.5651e+05,3.9449e+06,NaN
4.5651e+05,3.9449e+06,0.055461
4.5651e+05,3.9449e+06,NaN
4.5651e+05,3.9449e+06,0.035226
4.5651e+05,3.9449e+06,NaN
4.5651e+05,3.9449e+06,0.031396
4.5651e+05,3.9449e+06,NaN
4.5651e+05,3.9449e+06,0.016542
4.5651e+05,3.9449e+06,NaN
4.5651e+05,3.9449e+06,0.03597
4.5651e+05,3.9449e+06,NaN
4.5651e+05,3.9449e+06,0.028401
4.5651e+05,3.9449e+06,NaN
4.5651e+05,3.9449e+06,0.047629
4.5651e+05,3.9449e+06,NaN
4.5651e+05,3.9449e+06,0.024135
4.5651e+05,3.9449e+06,NaN
4.5658e+05,3.945e+06,0.030667
4.5658e+05,3.945e+06,NaN
4.5658e+05,3.945e+06,0.024777
4.5658e+05,3.945e+06,NaN
4.5658e+05,3.945e+06,0.016349
4.5658e+05,3.945e+06,NaN
4.5658e+05,3.945e+06,0.0209
4.5658e+05,3.945e+06,NaN
4.5658e+05,3.945e+06,0.029721
4.5658e+05,3.945e+06,NaN
4.5658e+05,3.945e+06,0.044222
4.5658e+05,3.945e+06,NaN
4.5659e+05,3.945e+06,0.061317
4.5659e+05,3.945e+06,NaN
4.5659e+05,3.945e+06,0.015236
4.5659e+05,3.945e+06,NaN
4.5659e+05,3.945e+06,0.020986
4.5659e+05,3.945e+06,NaN
4.566e+05,3.945e+06,0.020062
4.566e+05,3.945e+06,NaN
4.566e+05,3.945e+06,0.02416
4.566e+05,3.945e+06,NaN
4.5662e+05,3.945e+06,0.02376
4.5662e+05,3.945e+06,NaN
4.5662e+05,3.945e+06,0.028462
4.5662e+05,3.945e+06,NaN
